implementation,command,sample,wall_us,user_us,system_us,peak_rss_kib,minor_faults,major_faults,voluntary_context_switches,involuntary_context_switches
rust,root-help,215,2112.850,0.000,1999.000,6732,351,0,1,1
go,root-help,215,8786.577,6090.000,4872.000,13532,846,0,70,0
go,root-help,216,7629.954,4914.000,4914.000,13344,805,0,70,0
rust,root-help,216,3680.455,982.000,1964.000,6692,349,0,1,1
rust,root-help,217,3400.268,2210.000,1105.000,6644,349,0,1,0
go,root-help,217,6005.302,3310.000,4413.000,13436,809,0,65,0
go,root-help,218,7149.902,5517.000,3310.000,13600,837,0,80,0
rust,root-help,218,2884.670,0.000,2752.000,6748,348,0,1,0
rust,root-help,219,3240.968,0.000,3113.000,6668,351,0,1,0
go,root-help,219,8124.724,9684.000,0.000,13472,832,0,87,2
go,root-help,220,5655.856,4958.000,2479.000,13176,767,0,67,0
rust,root-help,220,2904.908,0.000,2760.000,6860,353,0,1,0
rust,root-help,221,3274.040,1054.000,2108.000,6532,348,0,1,1
go,root-help,221,8662.865,3593.000,6289.000,13340,804,0,81,2
go,root-help,222,7541.899,4825.000,4825.000,13148,775,0,78,1
rust,root-help,222,3082.401,0.000,2977.000,6632,348,0,1,1
rust,root-help,223,3301.302,0.000,2567.000,6464,353,0,1,1
go,root-help,223,8041.057,3223.000,6447.000,13348,807,0,59,0
go,root-help,224,6393.811,5367.000,2683.000,13472,822,0,72,0
rust,root-help,224,4069.826,981.000,2944.000,6620,349,0,1,0
rust,root-help,225,2225.400,1056.000,1056.000,6708,350,0,1,0
go,root-help,225,9276.939,5406.000,6487.000,13432,804,0,80,0
go,root-help,226,5775.089,3807.000,3807.000,13432,810,0,70,0
rust,root-help,226,3775.693,1207.000,2415.000,6684,352,0,1,0
rust,root-help,227,3394.797,0.000,3288.000,6680,349,0,1,0
go,root-help,227,6207.322,1413.000,7068.000,13304,783,0,64,0
go,root-help,228,9140.932,5233.000,6280.000,13560,834,0,83,1
rust,root-help,228,3450.482,0.000,3337.000,6280,351,0,1,0
rust,root-help,229,3643.956,1123.000,2247.000,6672,350,0,1,0
go,root-help,229,6959.114,3595.000,4793.000,13244,810,0,69,0
go,root-help,230,10026.426,3683.000,8594.000,13404,815,0,91,0
rust,root-help,230,2734.306,0.000,2606.000,6332,355,0,1,0
rust,root-help,231,2674.845,1719.000,859.000,6636,349,0,1,0
go,root-help,231,5934.980,2228.000,5571.000,13432,810,0,70,0
go,root-help,232,6585.924,2086.000,6259.000,13436,807,0,78,0
rust,root-help,232,3010.767,0.000,2927.000,6540,348,0,1,0
rust,root-help,233,2812.924,0.000,2716.000,6696,350,0,1,0
go,root-help,233,6628.724,3550.000,5325.000,13436,820,0,76,0
go,root-help,234,6011.654,2425.000,5659.000,13180,755,0,71,0
rust,root-help,234,2798.096,1342.000,1342.000,6724,349,0,1,0
rust,root-help,235,2060.451,0.000,2001.000,6564,349,0,1,0
go,root-help,235,6050.276,3617.000,4823.000,13148,776,0,68,2
