implementation,command,sample,wall_us,user_us,system_us,peak_rss_kib,minor_faults,major_faults,voluntary_context_switches,involuntary_context_switches
rust,root-help,143,1294.352,0.000,1245.000,6632,351,0,1,1
go,root-help,143,3623.557,2671.000,890.000,13180,703,0,39,29
go,root-help,144,4840.142,2595.000,1730.000,13176,685,0,24,20
rust,root-help,144,1962.717,0.000,1908.000,6516,350,0,1,1
rust,root-help,145,2609.682,0.000,2148.000,6864,352,0,1,2
go,root-help,145,4596.525,1675.000,2513.000,13176,686,0,40,32
go,root-help,146,4265.124,963.000,2891.000,13216,692,0,27,23
rust,root-help,146,1915.749,0.000,1856.000,6788,351,0,1,2
rust,root-help,147,1830.410,736.000,736.000,6664,349,0,1,2
go,root-help,147,4272.858,2091.000,2091.000,13164,708,0,45,36
go,root-help,148,4844.551,2613.000,1742.000,13148,691,0,41,37
rust,root-help,148,2042.708,0.000,1978.000,6572,350,0,1,2
rust,root-help,149,1940.566,0.000,1855.000,6560,352,0,1,2
go,root-help,149,4756.917,1735.000,2603.000,13176,688,0,39,38
go,root-help,150,4917.618,2669.000,1779.000,13216,703,0,41,37
rust,root-help,150,1932.059,938.000,938.000,6808,350,0,1,1
rust,root-help,151,1577.334,0.000,1526.000,6856,350,0,1,1
go,root-help,151,4438.198,2381.000,1587.000,13128,701,0,22,17
go,root-help,152,4311.129,1041.000,3123.000,12956,690,0,16,14
rust,root-help,152,2141.724,1037.000,1037.000,6520,350,0,1,1
rust,root-help,153,1970.190,950.000,950.000,6744,350,0,1,1
go,root-help,153,4766.656,2805.000,1870.000,13180,692,0,45,38
go,root-help,154,5964.536,2498.000,2498.000,13148,694,0,23,18
rust,root-help,154,2234.958,0.000,2150.000,6724,349,0,1,2
rust,root-help,155,2216.845,0.000,2092.000,6696,351,0,1,2
go,root-help,155,5416.787,1636.000,3272.000,13164,691,0,45,40
go,root-help,156,5327.929,1782.000,2673.000,13180,682,0,38,34
rust,root-help,156,1963.159,0.000,1893.000,6604,350,0,1,2
rust,root-help,157,1916.331,0.000,1839.000,6636,349,0,1,2
go,root-help,157,4717.703,3701.000,925.000,13176,690,0,43,37
go,root-help,158,5275.560,2849.000,1899.000,13176,692,0,43,36
rust,root-help,158,2864.301,1133.000,1133.000,6704,349,0,1,2
rust,root-help,159,2206.456,1055.000,1055.000,6732,352,0,1,2
go,root-help,159,4614.881,1796.000,2695.000,13084,703,0,16,13
go,root-help,160,5374.277,1934.000,2901.000,13184,704,0,44,36
rust,root-help,160,2860.844,0.000,2346.000,6664,350,0,1,2
rust,root-help,161,2139.610,1032.000,1032.000,6664,350,0,1,2
go,root-help,161,4943.487,971.000,3885.000,13240,689,0,17,13
go,root-help,162,5330.975,0.000,5132.000,13224,689,0,16,12
rust,root-help,162,2232.554,2167.000,0.000,6448,351,0,1,1
rust,root-help,163,2548.668,1033.000,1033.000,6672,350,0,1,2
go,root-help,163,4333.471,2544.000,1696.000,13164,692,0,40,34
go,root-help,164,4162.231,3066.000,1022.000,13232,703,0,39,34
rust,root-help,164,2269.523,0.000,2190.000,6544,351,0,1,1
rust,root-help,165,1876.365,910.000,910.000,6544,348,0,1,1
go,root-help,165,4914.874,1929.000,2894.000,13220,706,0,46,40
go,root-help,166,5165.705,2016.000,3025.000,13148,692,0,43,37
rust,root-help,166,2095.826,1019.000,1019.000,6844,350,0,1,1
rust,root-help,167,1946.568,0.000,1884.000,6664,351,0,1,1
go,root-help,167,5015.592,1686.000,2530.000,13216,704,0,15,12
go,root-help,168,4596.355,831.000,3324.000,13180,691,0,40,35
rust,root-help,168,1884.730,0.000,1820.000,6828,352,0,1,2
rust,root-help,169,1721.193,1655.000,0.000,6736,350,0,1,1
go,root-help,169,5757.887,1044.000,4179.000,13176,689,0,43,40
go,root-help,170,4634.617,1803.000,2705.000,13084,688,0,41,35
rust,root-help,170,2045.362,1989.000,0.000,6684,350,0,1,1
rust,root-help,171,1677.552,809.000,809.000,6592,349,0,1,1
go,root-help,171,4576.578,1023.000,3069.000,13176,685,0,40,38
go,root-help,172,4422.218,2579.000,1719.000,13176,702,0,17,12
rust,root-help,172,2084.226,1008.000,1008.000,6656,350,0,1,2
rust,root-help,173,2145.181,0.000,1751.000,6548,350,0,1,2
go,root-help,173,4347.538,1060.000,3182.000,13208,705,0,17,12
